phone name,phone price
"REDMI 9i Sport (Coral Green, 64 GB)","₹7,199"
"REDMI Note 11 SE (Cosmic White, 64 GB)","₹11,499"
"REDMI 9i Sport (Carbon Black, 64 GB)","₹7,199"
"REDMI 10 (Midnight Black, 64 GB)","₹9,999"
"REDMI 10 (Pacific Blue, 64 GB)","₹9,999"
"REDMI 10 (Caribbean Green, 64 GB)","₹9,999"
"REDMI 9i Sport (Metallic Blue, 64 GB)","₹7,199"
"REDMI 10 (Caribbean Green, 128 GB)","₹11,999"
"REDMI A1 (Black, 32 GB)","₹6,245"
"REDMI Note 10S (Frost White, 64 GB)","₹12,999"
"REDMI 10 (Midnight Black, 128 GB)","₹11,999"
"REDMI 10 (Pacific Blue, 128 GB)","₹11,999"
"REDMI A1 (Light Green, 32 GB)","₹6,398"
"REDMI 10A (Sea Blue, 64 GB)","₹8,970"
"REDMI 10 Prime (Phantom Black, 128 GB)","₹12,999"
"REDMI Note 11 SE (Bifrost Blue, 64 GB)","₹11,499"
"REDMI 10A (Charcoal Black, 64 GB)","₹8,785"
"REDMI 10A SPORT (SEA BLUE, 128 GB)","₹9,995"
"REDMI 10A SPORT (SLATE GREY, 128 GB)","₹10,473"
"REDMI 10A SPORT (SLATE GREY, 128 GB)","₹10,472"
"REDMI 10 Prime (Astral White, 128 GB)","₹12,999"
"REDMI A1 (Light Blue, 32 GB)","₹6,185"
"REDMI 9 Activ (Carbon Black, 128 GB)","₹10,499"
"REDMI Note 10T 5G (Mint Green, 128 GB)","₹14,999"
"REDMI 9 Power (Electric Green, 64 GB)","₹11,499"
"REDMI Note 10T 5G (Mint Green, 128 GB)","₹14,999"
"REDMI 9 Activ (Coral Green, 128 GB)","₹10,499"
"REDMI Note 11 SE (Thunder Purple, 64 GB)","₹11,499"
"REDMI Note 11 SE (Space Black, 64 GB)","₹11,499"
"REDMI 9 Activ (Metallic Purple, 64 GB)","₹8,690"
"REDMI 9i (Sea Blue, 64 GB)","₹8,999"
"REDMI 10 Prime 2022 (Phantom Black, 64 GB)","₹11,999"
"REDMI 10A (Charcoal Black, 64 GB)","₹8,965"
"REDMI 11 Prime 5G (Thunder Black, 64 GB)","₹13,299"
"REDMI 10A SPORT (SEA BLUE, 128 GB)","₹10,438"
"REDMI Note 11S (Horizon Blue, 64 GB)","₹16,499"
"REDMI Note 11S (Horizon Blue, 128 GB)","₹15,598"
